,species,mean_ripeness,sd_ripeness,formatted_ripeness_date,60_day_ripeness_end,30_day_ripeness_end,gaussian_ripeness_start,gaussian_ripeness_end,formatted_60_day_ripeness_end,formatted_30_day_ripeness_end,formatted_gaussian_ripeness_start,formatted_gaussian_ripeness_end
53,Prunus virginiana,221.5,13.3,08-09,281.5,251.5,194.9,248.1,10-08,09-08,07-13,09-05
54,Prunus yedoensis,153.0,0.0,06-02,213.0,183.0,153.0,153.0,08-01,07-02,06-02,06-02
55,Prunus ilicifolia,184.0,5.5,07-03,244.0,214.0,173.0,195.0,09-01,08-02,06-22,07-14
56,Prunus cerasus,170.1,14.8,06-19,230.1,200.1,140.5,199.7,08-18,07-19,05-20,07-18
57,Prunus emarginata,245.8,4.9,09-02,305.8,275.8,236.0,255.6,11-01,10-02,08-24,09-12
58,Prunus pensylvanica,212.7,6.2,07-31,272.7,242.7,200.3,225.1,09-29,08-30,07-19,08-13
59,Prunus laurocerasus,225.6,15.0,08-13,285.6,255.6,195.6,255.6,10-12,09-12,07-14,09-12
60,Prunus avium 'Early cultivar',168.8,15.0,06-17,228.8,198.8,138.8,198.8,08-16,07-17,05-18,07-17
61,Prunus avium 'Hedelfinger',155.5,8.3,06-04,215.5,185.5,138.9,172.1,08-03,07-04,05-18,06-21
62,Prunus avium 'Late cultivar',181.0,7.6,06-29,241.0,211.0,165.8,196.2,08-29,07-30,06-14,07-15
63,Prunus avium,175.4,13.1,06-24,235.4,205.4,149.2,201.6,08-23,07-24,05-29,07-20
64,Prunus avium 'late cultivar',179.9,9.1,06-28,239.9,209.9,161.7,198.1,08-27,07-28,06-10,07-17
65,Cornus mas,245.0,0.0,09-02,305.0,275.0,245.0,245.0,11-01,10-02,09-02,09-02
66,Diospyros virginiana,275.0,0.0,10-02,335.0,305.0,275.0,275.0,12-01,11-01,10-02,10-02
67,Diospyros kaki,267.5,13.0,09-24,327.5,297.5,241.5,293.5,11-23,10-24,08-29,10-20
68,Diospyros kaki 'Fuyu',306.0,0.0,11-02,366.0,336.0,306.0,306.0,01-01,12-02,11-02,11-02
69,Pyrus communis,247.1,7.7,09-04,307.1,277.1,231.7,262.5,11-03,10-04,08-19,09-19
70,Pyrus communis 'Early cultivar',245.0,0.0,09-02,305.0,275.0,245.0,245.0,11-01,10-02,09-02,09-02
71,Pyrus communis 'Late cultivar',273.8,5.8,09-30,333.8,303.8,262.2,285.4,11-29,10-30,09-19,10-12
72,Pyrus communis 'Williams',270.0,11.2,09-27,330.0,300.0,247.6,292.4,11-26,10-27,09-04,10-19
73,Pyrus communis 'Bartlett',245.0,0.0,09-02,305.0,275.0,245.0,245.0,11-01,10-02,09-02,09-02
74,Pyrus pyrifolia,245.0,0.0,09-02,305.0,275.0,245.0,245.0,11-01,10-02,09-02,09-02
