location_id,start_month,end_month,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
569824,9,10,1,18,8,species,Loquat,Eriobotrya japonica,
610406,9,10,1,388,8,species,Blackthorn,Prunus spinosa,
1065850,7,9,1,114,6,genus,Apple,Malus,
1062373,1,3,1,418,8,species,Common mango,Mangifera indica,
569710,4,,1,14,8,species,Apple,Malus pumila,Malus domestica
568089,8,9,1,48,7,multispecies,Blackberry,Rubus,
592189,12,1,1,1,7,multispecies,Plum,Prunus,
665725,3,,1,73,6,genus,Walnut,Juglans,
1606,5,6,1,92,6,genus,Mulberry,Morus,
657064,7,8,1,122,7,multispecies,Raspberry,Rubus,
462251,8,9,1,15,6,genus,Pear,Pyrus,
665672,9,10,1,16,6,genus,Grape,Vitis,
607209,6,7,1,96,8,species,Black mulberry,Morus nigra,
569910,4,5,1,59,8,species,Olive,Olea europaea,
659828,7,9,1,48,7,multispecies,Blackberry,Rubus,
610455,7,8,1,62,7,multispecies,Cherry,Prunus,
607950,8,8,1,113,8,species,Cherry plum,Prunus cerasifera,Prunus pissardii
656954,8,11,1,14,8,species,Apple,Malus pumila,Malus domestica
606946,7,8,1,168,8,species,Black cherry,Prunus serotina,
610437,8,9,1,1,7,multispecies,Plum,Prunus,
591818,6,7,1,92,6,genus,Mulberry,Morus,
1532,9,10,1,12,7,multispecies,Persimmon,Diospyros,
568131,6,7,1,121,8,species,Sour cherry,Prunus cerasus,
592108,4,4,1,14,8,species,Apple,Malus pumila,Malus domestica
592404,1,,1,537,8,species,Breadfruit,Artocarpus altilis,
610374,9,,1,73,6,genus,Walnut,Juglans,
610434,9,10,1,15,6,genus,Pear,Pyrus,
1989,5,,1,92,6,genus,Mulberry,Morus,
595114,11,2,1,3,8,species,Orange,Citrus x sinensis,
2110,5,6,1,92,6,genus,Mulberry,Morus,
657084,9,10,1,56,6,genus,Prickly pear,Opuntia,
570177,12,,1,1,7,multispecies,Plum,Prunus,
657319,9,10,1,12,7,multispecies,Persimmon,Diospyros,
460,10,12,1,12,7,multispecies,Persimmon,Diospyros,
593908,4,,1,18,8,species,Loquat,Eriobotrya japonica,
610378,8,9,1,74,6,genus,Elderberry,Sambucus,
592423,2,,1,537,8,species,Breadfruit,Artocarpus altilis,
606407,1,12,1,10,8,species,Rosemary,Rosmarinus officinalis,
569800,,4,1,76,6,genus,Guava,Psidium,
610903,6,,1,62,7,multispecies,Cherry,Prunus,
2337,7,7,1,62,7,multispecies,Cherry,Prunus,
660178,12,2,1,536,8,species,Lychee,Litchi chinensis,
567825,9,10,1,70,6,genus,Chestnut,Castanea,
592487,9,10,1,172,6,genus,Hawthorn,Crataegus,
610917,,8,1,1,7,multispecies,Plum,Prunus,
3518,9,9,1,52,8,species,Peach,Prunus persica,
3549,9,9,1,16,6,genus,Grape,Vitis,
610439,8,10,1,14,8,species,Apple,Malus pumila,Malus domestica
610922,8,9,1,48,7,multispecies,Blackberry,Rubus,
3438,7,7,1,79,8,species,Apricot,Prunus armeniaca,
610388,9,9,1,48,7,multispecies,Blackberry,Rubus,
3528,8,9,1,1,7,multispecies,Plum,Prunus,
610419,7,8,1,1,7,multispecies,Plum,Prunus,
657087,8,9,1,114,6,genus,Apple,Malus,
660187,12,3,1,418,8,species,Common mango,Mangifera indica,
594218,3,4,1,18,8,species,Loquat,Eriobotrya japonica,
592157,1,,1,59,8,species,Olive,Olea europaea,
592187,2,3,1,78,8,species,Passionfruit,Passiflora edulis,
666691,5,6,1,173,8,species,Red mulberry,Morus rubra,
607091,7,8,1,168,8,species,Black cherry,Prunus serotina,
665708,11,,1,92,6,genus,Mulberry,Morus,
592165,1,,1,113,8,species,Cherry plum,Prunus cerasifera,Prunus pissardii
611441,8,9,1,1,7,multispecies,Plum,Prunus,
567542,8,,1,1,7,multispecies,Plum,Prunus,
594169,3,6,1,108,6,genus,Cattail,Typha,
606078,6,7,1,168,8,species,Black cherry,Prunus serotina,
1063826,6,7,1,62,7,multispecies,Cherry,Prunus,
1064060,6,7,1,126,8,species,Gooseberry,Ribes uva-crispa,
1064082,9,11,1,14,8,species,Apple,Malus pumila,Malus domestica
592518,6,7,1,97,8,species,White mulberry,Morus alba,Morus tatarica
1064083,5,6,1,96,8,species,Black mulberry,Morus nigra,
1064086,5,5,1,92,6,genus,Mulberry,Morus,
1064087,5,5,1,92,6,genus,Mulberry,Morus,
1064088,7,7,1,7,8,species,Avocado,Persea americana,
1064085,5,5,1,96,8,species,Black mulberry,Morus nigra,
1064100,9,10,1,14,8,species,Apple,Malus pumila,Malus domestica
1064101,9,10,1,14,8,species,Apple,Malus pumila,Malus domestica
1064160,8,10,1,1741,8,species,California blackberry,Rubus ursinus,
1064108,6,,1,173,8,species,Red mulberry,Morus rubra,
1064120,7,12,1,419,8,species,Starfruit,Averrhoa carambola,
1064119,6,9,1,1386,6,genus,Mango,Mangifera,
