type_id,count,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
613,2,7,multispecies,Whortleberry,Vaccinium,
2204,2,8,species,American yellowwood,Cladrastis kentukea,Cladrastis lutea
2283,2,8,species,Curl-leaf mountain mahogany,Cercocarpus ledifolius,
4057,2,9,subspecies,Copper beech,Fagus sylvatica f. purpurea,Fagus sylvatica Purpurea Group
3321,2,9,subspecies,Pumpkin Sweet apple,Malus pumila 'Pumpkin Sweet',
3319,2,9,subspecies,Northern Spy apple,Malus pumila 'Northern Spy',
3325,2,9,subspecies,Dana Hovey pear,Pyrus communis 'Dana Hovey',
3315,2,9,subspecies,Cortland apple,Malus pumila 'Cortland',
2539,2,8,species,European bladdernut,Staphylea pinnata,
3310,2,9,subspecies,Summer Red apple,Malus pumila 'Summer Red',
2518,2,8,species,Mountain currant,Ribes alpinum,
3304,2,9,subspecies,Black Tartarian cherry,Prunus avium 'Black Tartarian',
2522,2,8,species,Alpine rose,Rosa pendulina,
3273,2,4,order,Turtle,Testudines,
3399,2,8,species,Watery rose apple,Syzygium aqueum,
4369,2,9,subspecies,Pin oak,Quercus palustris 'Columnaris',
2505,2,8,species,Fly honeysuckle,Lonicera xylosteum,
3467,2,9,subspecies,John Downie crabapple,Malus sylvestris 'John Downie',
3476,2,9,subspecies,Cherry plum,Prunus cerasifera 'Woodii',
2431,2,6,genus,Cedar,Thuja,
2739,2,8,species,Atemoya,Annona x atemoya,Annona squamosa x Annona cherimola
2437,2,8,species,Field elm,Ulmus minor,Ulmus carpinifolia
184,2,8,species,Tree onion,Allium x proliferum,
3180,2,9,subspecies,Flower of Kent apple,Malus pumila 'Flower of Kent',Malus domestica 'Flower of Kent'
3739,2,9,subspecies,Eastern redbud,Cercis canadensis 'Forest Pansy',
3798,2,9,subspecies,Eastern white pine,Pinus strobus 'Radiata',
3499,2,9,subspecies,Downy serviceberry,Amelanchier arborea 'Robin Hill',
2118,2,8,species,Tumeric,Curcuma longa,
2380,2,8,species,Lawson cypress,Chamaecyparis lawsoniana,
1790,2,9,subspecies,Weeping beech,Fagus sylvatica 'Pendula',
3970,2,8,species,Common mistletoe,Viscum album,
3513,2,8,species,Korean plum-yew,Cephalotaxus harringtonii,
4725,2,8,species,Ponderosa lemon,Citrus x pyriformis,
2242,2,8,species,White-leaved savory,Micromeria fruticosa,
2235,2,8,species,Scarlet hawthorn,Crataegus coccinea,Crataegus pedicellata
3961,2,5,family,Razor shells,Solenoidea,
3959,2,8,species,Common cockle,Cerastoderma edule,
427,2,8,species,Eastern gray squirrel,Sciurus carolinensis,
3949,2,8,species,Yellow archangel,Lamium galeobdolon,"Galeopsis galeobdolon, Lamiastrum galeobdolon, Galeobdolon luteum"
2192,2,6,genus,Arrow arum,Peltandra,
2155,2,8,species,Che,Maclura tricuspidata,Cudrania tricuspidata
4034,2,8,species,Hoary cress,Lepidium draba,Cardaria draba
2131,2,8,species,Broom cluster fig,Ficus sur,Ficus capensis
2121,2,8,species,Native tamarind,Diploglottis cunninghamii,
2079,2,8,species,Garden orache,Atriplex hortensis,
2119,2,8,species,Davidson's plum,Davidsonia pruriens,
2114,2,8,species,Eastern mayhaw,Crataegus aestivalis,
1403,2,8,species,Tawny milk-cap,Lactifluus volemus,Lactarius volemus
