DAY,YEAR,genus,specificEpithet,eventRemarks,LON,LAT,site_id
118,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
111,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
41,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
104,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
61,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
69,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
76,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
198,2022,Morus,rubra,Ripe fruits,-95.905975,41.203037,2
174,1952,Morus,sp,Ripe fruits,19.0833,42.1,3
